Avey;Ada;Babylon;K health
0.631;0.791;0.0;0.558
0.793;0.91;0.0;0.679
0.93;0.417;0.0;0.253
0.947;0.812;0.0;0.745
0.689;0.844;0.0;0.679
0.887;0.776;0.0;0.776
0.596;0.703;0.0;0.164
0.732;0.0;0.0;0.0
0.745;0.47;0.0;0.47
0.826;0.826;0.0;0.945
0.0;0.0;0.0;0.0
0.745;0.0;0.0;0.0
0.0;0.321;0.0;0.0
0.693;0.95;0.0;0.0
0.905;0.905;0.0;0.745
0.791;0.492;0.0;0.0
0.745;0.0;0.0;0.523
0.964;0.0;0.0;0.0
0.47;0.0;0.0;0.0
0.041;0.053;0.0;0.106
0.357;0.215;0.0;0.0
0.365;0.809;0.0;0.0
0.294;0.357;0.0;0.261
0.923;0.94;0.0;0.395
0.438;0.826;0.0;0.0
0.721;0.679;0.0;0.887
0.609;0.91;0.0;0.328
0.867;0.844;0.0;0.955
0.972;0.202;0.0;0.0
0.0;0.0;0.0;0.0
0.79;0.745;0.0;0.951
0.047;0.047;0.0;0.0
1.0;0.0;0.0;0.826
0.319;0.106;0.0;0.106
0.947;0.0;0.0;0.0
0.919;0.398;0.0;0.324
0.812;0.374;0.067;0.0
0.0;0.0;0.0;0.0
0.0;0.64;0.0;0.0
0.0;0.0;0.0;0.0
0.275;0.413;0.0;0.826
0.532;0.0;0.0;0.0
1.0;0.826;0.0;0.0
0.745;0.745;0.0;0.0
0.47;0.0;0.0;0.0
0.745;0.47;0.0;0.745
0.607;0.0;0.0;0.0
0.826;0.826;0.0;0.826
0.826;0.826;0.0;0.0
0.494;0.826;0.0;0.826
0.723;0.703;0.0;0.703
0.521;0.107;0.0;0.413
0.16;0.745;0.0;0.0
0.0;0.826;0.0;0.826
0.745;0.0;0.16;0.0
0.692;0.479;0.0;0.0
0.826;0.521;0.0;0.826
0.0;0.0;0.0;0.0
0.64;0.79;0.0;0.202
0.745;0.067;0.0;0.0
0.141;0.0;0.0;0.0
0.883;0.138;0.0;0.106
0.521;0.689;0.0;0.275
0.47;0.47;0.0;0.0
0.692;0.319;0.0;0.0
0.947;0.883;0.0;0.0
0.826;0.826;0.0;0.0
0.745;0.373;0.0;0.202
0.745;0.321;0.0;0.745
0.951;0.745;0.0;0.0
0.745;0.745;0.0;0.47
0.0;0.745;0.0;0.745
0.0;0.373;0.0;0.745
0.703;0.703;0.0;0.0
0.288;0.041;0.0;0.0
0.521;0.521;0.0;0.0
0.692;0.0;0.0;0.0
0.745;0.0;0.0;0.0
0.745;0.373;0.0;0.373
0.745;0.812;0.0;0.798
0.288;0.0;0.0;0.905
0.745;0.745;0.0;0.745
0.0;0.443;0.0;0.703
0.0;0.521;0.0;0.964
0.161;0.703;0.0;0.773
0.964;0.826;0.0;0.0
0.826;0.0;0.0;0.826
1.0;1.0;0.0;0.964
0.053;0.106;0.0;0.053
0.0;0.797;0.0;1.0
0.222;0.0;0.0;0.0
0.826;0.964;0.0;0.0
0.288;0.745;0.0;0.0
0.745;0.947;0.0;0.745
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.745;0.373;0.0;0.745
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.275;0.0;0.0
